Spanish,English
parte,part
buscar,search
solamente,only
policía,police
pensaba,thought
ayuda,help
solicitud,request
género,kind
mes,month
hermano,brother
dejar,let
porque,because
poner,to put
ninguno,no
correa,leash
ciudad,city
cada,each
hablado,speak
llegado,come
debería,should
bebé,baby
mucho tiempo,long time
horas,hours
mientras,while
ver de nuevo,meet again
ninguna,any
plaza,square
habla,speak
entendido,understood
sabía,knew
eran,were
atención,Warning
aquí está,here is
dar,give
tipo,type
sus,their
dado,given
ojos,eyes
manera,way
escucha,listen
cuyo,whose
encuentra,find
perdido,lost
mano,hand
lado,side
poder,power
sé,be
aquí,here
mañana,morning
tanto,so much
niño,child
punto,point
venido,came
después,after
perdón,sorry
ven,come
delante,in front of
hacia,towards
minutos,minutes
solicitado,request
puesto,placed
hermosa,beautiful
ley,law
me gustaría,would like to
hoy,today
esposo,husband
finalmente,finally
espera,hope
agua,water
esperen,Wait
salido,left
nuevo,new
trabajo,job
detener,Stop
diría,would say
cuenta,account
dado,given
lejos,far
fin,end
creer,believe
cariño,sweetheart
grande,large
más bien,rather
tendrá,will have
niñas,girls
jugar,to play
oficina,office
